barcode,product_name,brands,ingredients_text
8906011347405,Mello Royale Dark Compound,Mello Royale,"sugar, edible vegetable fat (hydrogenated oil), cocoa solids, emulsifiers (ins 322 (i), ins 476, ins 492), edible salt, flavour."
8904083301547,Sweetend Condensed Milk,Milky Mist,milk solids and sugar
8901058010619,Maggi cheese noodles,Maggi,"noodls-
refined wheat flour (maida), palm oil, wheat gluten, lodized
salt, thickeners (508 & 412), acidity regulators (501(i) &
500(i)) and humectant (451(i)).
masala *tastemaker*

sugar, thickeners (508 & 412), starch, milk solids, lodized salt,
cheese (5.6%), flavour enhancer (635), garlic powder, yeast
extract powder, nature identical flavouring substances, onion
powder, spice extract blend, maltodextrin, capsicum extract,
black pepper bits, dehydrated coriander leaves, palm oil, red
chilli flakes (1%) and rosemary extract."
8906057206254,Tomato Ketchup,Tikks,"water, sugar, tomato paste (18%), liquid glucose, edible common salt, stabilizers (ins1422, ins415), sweetener (ins 960), acidity regulator (ins 260, ins 330), potato/carrot powder spices and condiments. contains permitted class-ii preservative (ins 211)."
8906050621900,Ginger garlic paste,LA-SOON,"fresh garlic (65%),

fresh ginger (35%), water, salt, acetic acid & citric acid (acidity regulator, e260 & e330), xanthan gum (stabilizing & emulsifying agent, e415). sodium benzoate (preservative, e211)"
8904256709811,Himalayan Pink Salt,"Bb, bb GoodDiet",natural rock salt
8901725013714,Bingo Mad Angles Achari Masti,ITC,"Corn & wheat grits, edible vegetable oil, seasoning (spices, salt, sugar, flavour enhancers INS 621/627/631)"
8901777960042,Vadilal bomber,Vadilal,"middle layer: medium fat frozen dessert (51.7 %) [water, sugar, milk solids, edible vegetable oil (palm oil), liquid glucose, cocoa powder, emulsifier (471), stabilisers (412, 466, 407), synthetic food vadilal colours (110, 124, 133), artificial (vanilla) flavouring substances], outer & center layer: chocolate covering (48.3 %) [edible vegetable oil (coconut oil), sugar, milk solid, cocoa solid, wheat crunch, emulsifier (322,476), edible common salt, artificial (vanilla) flavouring substances. frozen dessert is made with 8.0 % edible vegetable oil. allergen information: contains <span class=""allergen"">milk</span>, <span class=""allergen"">soy</span> and <span class=""allergen"">wheat flour</span>. may contain <span class=""allergen"">cashew</span>, <span class=""allergen"">almond</span> and <span class=""allergen"">pistachio</span>"
8906080349652,"Murmura, Kurmura",Vijay,"roasted rice, salt"
8904288612028,Mixed pickles,Tops gold,"mixed vegetables - 64% (mango, lime, green chilli, carrot, turnip, dela, cauliflower, ginger, lotus stem), iodised salt, mustard oil, fenugreek, acidity regulators (ins 330, ins 260), aniseed, red chilli powder, lime juice, preservative (ins 211), spices & condiments, turmeric powder."
8906006783362,Dark Soya Shandar Sauce,"Winn, My Chinese Kitchen","water, liquid glucose, lodized salt, <span class=""allergen"">soybean</span>, <span class=""allergen"">wheat flour</span>, caramel (ins150c), starch, acidity regulator (ins260), preservative (ins211) contains permitted class ii preservative (ins211), permitted natural colour (ins150c)"
8901808000068,WeiKFiELD,Weikfield,"maize starch, iodized salt, artificial flavouring substance(vanilla), synthetic food colours (ins 102,110,122)"
8908016386168,Desi Khand (Natural Sweetener),Bebe™,concentrated sugarcane juice
8908012586104,Raw Peanut,My kitchen,"<span class=""allergen"">peanut</span>"
8905632021107,spoton jucie,"RMHA,Spoton","water, mango pulp, sugar acidity regulator(330) sodium citrate(e331) antioxidant (300) contains permitted class ii preservatives (211,e224) contains permitted synthetic food colours (e 110,e 102) and added flavours (natural, nature identical and artificial flavouring substances)"
8901440031017,Mango Pickle,Eastern,"mango, salt, kashmiri chilli powder, chilli powder, mustard powder, synthetic vinegar (4% diluted acetic acid (e260) (acidity regulator), refined sesame oil, turmeric powder, fenugreek powder, asafoetida, contains permitted class ii preservative sodium benzoate (e211)."
8908001105590,on1y fenugreek leaves,on1y,dried fenugreek leaves
8906010500047,masala masti,Balaji,"potato 87%, edible vegetable oil, sugar, spices and condiments, edible common salt, black salt"
8904045820055,Pappad,Kamadhenu,"black gram, salt"
8904132953437,Campa lemon flv can,,"carbonated water, sugar, acidity regulators (330, 331iii), preservative (211), nature identical flavouring substances"
8908012784098,Gopi Makai poha,Gopi,processed maize & lodized salt
8901529000880,H. Nandan Roti kip masala,H. Nandan,"koriander, kurkuma, komijn, mosterdzaad, fenegriek, zwarte peper, gember, venkel, uienzaad, tomatenpoeder, knoflook. kan sporen van selderij en sesam bevatten."
8906058611194,Oats,Gaia,"<span class=""allergen"">oats</span>"
8906153561080,Badam Flavoured Milk,Nandini,"milk solids, sugar, stabilizers (ins 460, ins 466, ins 407), ins 102, ins 110, 
allergen advice: contains <span class=""allergen"">milk</span>"
8901512924001,Sundrop cocoa nut,Sundrop,"sugar, refined palm superolein oil, hazelnut paste, milk solids, cocoa solids, maltodextrin, emulsifier, nature identical flavour, hydrogenated vegetable oil"
8906040412976,Soya Chunks,Pushp,"<span class=""allergen"">soya flour</span>"
8904221695873,Atom Creatine Monohydrate,Atom,"creatine monohydrate (micronized), acidity regulator 330, sucralose,"
8904057397705,Hatsun Chassis Butter Milk,Hatsun,"milk solids, processed water, iodized salt & starter culture."
8908014480080,Bovonto,Kali Mark,"carbonated water, sugar, colour (ins 150d, ins 122, ins 102, ins 124, ins 133), natural, nature identical & artificial flavouring substances, acidity regulator (ins 330), preservative (ins 21.1), sweetener (ins 955).

contains no fruit juice or pulp."
8908015692147,Coconut Water,Coco Charge,"tender coconut water(100%), bio-preservative (ins 234)"
8901175003006,Co-amoxiclav Film Coated Tablets,"Miloharm,Milpharm",each film-coated tablet contains amoxicillin trihydrate equivalent to 500 mg amoxicillin with potassium clavulanate equivalent to 125 mg clavulanic acid.
8904063208279,Aloo Achari Paratha,Haldiram's,"potatoes (40%), whole wheat flour (38%), refined sunflower oil, mix pickle - (8%) (raw mango, lime, chillies, ginger, carrots, salt, vegetable oil, ground & whole spices (fenugreek, mustard seeds, turmeric, chilli, fennel, nigella seeds and coriander), asafoetida & acidity regulator (e260)), water, salt, coriander leaves, fennel, red chilli, coriander seeds, cumin and <span class=""allergen"">mustard</span>."
8906058380427,Tholoor mango pickle,,"cut mango , salt, red chilly, gingelly oil, mustard, fenugreek, asafoetida, curry leaves, synthetic vinegar,  benzoic acid"
8906021062466,Molsi's Cashew Pepper Dry Roasted,Molsi's,"cashew nuts, pepper & salt"
8903553002809,Tempting Tomato Ketchup,Temptin,"water, sugar, tomato paste (28°b) 24.7%, edible common salt, acidity regulator acetic acid (ins 260), emulsifying & stabilizing agent (ins 1422 & ins 415), onion powder, garlic powder, mixed spices (clove, cinnamon, chilli) preservative sodium benzoate (ins 211). contains permitted class ii preservative (ins 211). tomato ketchup nutritional information a l n slu d per (100g) - per serve 1 tbsp (15g) % rda per serve energy value (kcal) 150 02 f"
8906020581876,High Protein Paneer,iD,"<span class=""allergen"">milk</span>, lemon concentrate."
8901745100012,RKG Pure Cow Ghee,RKG,cow's milk fat 99.9%
8906153883892,Two Brothers Thandai Drink Mix,Two Brothers,"cashew nut (33.22%), almond (33.22%) sauf (8.31%) melon seeds (7.47%) pistachio (5.23%) poppy seeds (4.15%) black pepper (3.32%) rose petals (1.66%) cardamom (1.00%) saffron (1.00%) white pepper (0.83%) nutmeg (0.58%)"
8906108192475,Korean Chicken Momos,Licious,"momo-chicken (46%), refined wheat flour (maida), water, onion (7%), soy sauce (4.2%), coriander (2%), ginger, garlic, seasoning (1.7%), vinegar, brown sugar, sunflower oil, lodised salt, red chilli, sesame oil, wheat gluten, flavour enhancer (ins 627 & ins 631), milk solids, gelling agent (ins 407), emulsifier (ins 451(i)), spice extract, natural color (ins 150a & ins 160c(i)), acidity regulator (ins 262(i)), thickener (ins 415)."
8906126830007,Refined Sunflower Oil,Hello Life,"refined sunflower oil, permitted antioxidant tbhq (e319), vitamin a, vitamin d and antifoaming agent dimethyl polysiloxane dmps (e-900)"
8906010502232,Balaji wafers panjabi tadka,Balaji,"edible vegetable oil (palmolein, rice bran), potato flakes (23%), chickpea flour (19%), moth bean flour, starch, black salt, edible common salt, sugar, dehydrated vegetable powder onion garlic, spices & condiments (chilli, dry mango, cumin, coriander turmeric, nutmeg, mace), milk solids (<span class=""allergen"">whey</span>) (0.06%), hydrolyzed vegetable protein (<span class=""allergen"">soya</span>), acidity regulator (ins 296, ins 330 anticaking agent (ins 551), flavour enhancer (ins 627, ins 631 tural & nature identical flavouring substances (chilli, cumin"
8901262493215,Paneer fresh,,"milk solids , citric acid"
8904083600527,Frankie Masala,kapol,"illy,, asafoetida, turmeric."
8906216141280,Raw peanuts,Unknown Brand,"<span class=""allergen"">peanuts</span>"
8906161391570,Crunchy Party Mix,Let's Try,"edible vegetable oil (refined groundnut oil), chick peas (30%), <span class=""allergen"">peanuts</span> (20%), chana dal (10%), green peas (10%), chickpeas pulse flour, potato, starch, *spice and condiments (red chilli powder, cumin powder, white pepper powder, black pepper powder, dried mango powder, cardamom powder, clove powder, nutmeg powder, mace powder, star anise powder, mint powder and asafoetida), lodised salt and acidity regulator (ins 330). * used as natural flavouring agent. allergen information:contains <span class=""allergen"">peanut</span>."
8906097599712,Reload Instant Electrolytes,Fast&Up,"acidity regulator (ins 330), anticaking agent [ins 421), sodium bicarbonate, potassium chloride, acidity regulator [ins 296], natural lime & lemon flavour, sodium carbonate,  magnesium carbonate, ascorbic acid (vitamin c), calcium carbonate, anticaking agent (552),, sweetener [ins 955], stabilzer [inss 1201], anticaking agent [ins 551] ,cyanocobalamin (vitamin b12)."
8901826903105,Pio' -  Badam,Verka,"milk solids,sugar,contains permitted synthetic food colors(e102,e122,e127,e133) added artificial almond flavour."
8906036675750,Nandini GoodLife Plus Toned Milk 1ltr,Nandini,"milk solids, vitamin a & vitamin d milk fat: 3.0% (min) & snf: 8.5% (min)"
8906112996212,High Protein Bread,Protein Chef,"whole wheat flour (atta), high protein blend (<span class=""allergen"">soya flour</span>, peanut flour), vital wheat gluten, broken wheat, vinegar, yeast, iodised salt, sugar, refined sunflower oil, bread premix, bread improver."
8904083308065,Spiced Butter Milk,,"water, toned milk curd (40%), lodized salt, stabilizer (ins 440), spices and condiments (0.03%), probiotic culture (lactobacillus rhamnosus). allergen information: contains milk"
8901826224002,Kheer,Verka,"milk solids, sugar, rice & cardamom, contains permitted class ii preservative (e 211)"
8904083311010,Shredded Mozzarella Cheese,Milky Mist,"pasteurized milk, microbial culture, microbial enzyme, iodized salt."
8901821006047,Tomato Ketchup,Druk,"tomato puree, sugar, salt, acetic acid e260, onion powder, spices, garlic powder, emulsifying and stabilizing agent e466"
8901063146938,Winkin' Cow Bourbon Shake,Britannia,"double toned milk, water, sugar, cocoa solids (1.4%), emulsifiers & stabilizers (471, 412, 407, 415&418), biscuit (0.3%) [colours (150, 1500, 122, 110, 133 & 102), raising agents (500(ii) & 503), nature identical & artificial vanilla chocolate milk&milky cocoa) flavouring substances and emulsifiers 1471 $220, flavours (nature identical (chocolate) and artificial (vanilla) flavouring acidity regulators (340(ii), 340 & 452(1) and iodized salt."
8904083306047,Curd,Milky Mist,pasteurized toned milk & active lactic culture.
8908005733331,Kesar Kulfi,WhiteCub,"coconut cream, soy milk, sugar, cardamom powder, saffron, permitted emulsifier, stabilizers, nature-identical flavour"
8906080604300,zero sparkling cranberry lime,paper boat,"carbonated water, sweeteners (968, 955), flavours (natural and nature - identical flavouring substances), acidity regulators (330, 331, preservative (211), iodised salt, food colours (129, 122, 133)."
8904092498023,Pizza bread,Kabhib,"whole wheat flour, refined wheat flour, yeast, palm oil, sugar, iodised salt, colour (ins 150d), <span class=""allergen"">gluten</span>, permitted preservative (ins 282), <span class=""allergen"">soya flour</span>, flour treatment agent (e1100), flour treatment agent (e1104), flour treatment agent (e1102), flour treatment agent (e510), acidity regulator (ins 260)."
8906135093141,Honey From The Honey Specialist Squeezy,qpis,honey (multifloral honey)
8904089301497,Matka Kulfi,Havmor,"ice cream (98.3%): milk solids, sugar, emulsifier (ins 471) and stabilizers (ins 412, ins 401, ins 466, ins 410, ins 415, ins 407). topping (1.7%): sauce (1.1%) [sugar, liquid glucose, added water, stabilizers (ins 401, ins 466, ins 407), nature identical (saffron) flavoring substances, saffron (&lt;0.01%), synthetic food colours (ins 110, ins 102)], <span class=""allergen"">pistachio nuts</span> (0.5%), <span class=""allergen"">almonds</span> (0.1%)."
8901262030403,Pure Cow Ghee,Amul,99.7% anhydrous milk fat (from fresh cow milk cream)
8906120100663,Himalayan Salt Makhana,Farmley,"foxnut (makhana), olive oil, rock salt."
8901246007018,demonte ketchup,,"sugar, water, liquid glucose, cocoa powder (8.5%), malt extract, acidity regulator pall with a slice of cake. mkt. by:del monte foods pvt. ltd., (ins 30), preservative (ins 202), lodized sale; thickener (-2, first floor plot no.-16, udyog vihar ins 415) and nature identical flavouring substance. allergen: contains wheat & barley"
8906151140188,Tata 1mg Cod Liver capsules,Tata 1mg,"methacrylic acid, cod liver (fish oil), capsule shell dent (<span class=""allergen"">gelatin</span>), humectants [ins 422 & ins 420(ii)], purified water,  vehicle (refined soya oil), foam stabilizer (ins 1505), preservative (ins 218), antioxidant (ins 320) & artificial flavouring substance (ethyl vanillin)."
8906135070227,Jowar Millet Flakes,nativefoodstore,jowar millet flakes
8906159751089,Nabati Richeese Cheese Wafer,Nabati,"<span class=""allergen"">cream</span> (sugar, refined palm olein, cheese powder (sugar, cheese solids (3.5%), maltodextrin, colours (ins 110, ins 100(i))), maltodextrin, <span class=""allergen"">milk powder</span>, corn starch, emulsifier (ins 322), acidity regulator (ins 330)). wafer sheet (refined wheat flour (maida), refined palm olein, flour treatment agent (ins 1101 (i)), lodized salt, raising agent (ins 500(ii)), emulsifier (ins 322)). numbers in the bracket as per international numbering system allergen: contains <span class=""allergen"">wheat</span>, <span class=""allergen"">milk</span> and <span class=""allergen"">soya</span>"
8902080304028,7up lemon 250ml,Pepsico,"carbonated water, sugar, acidity regulators (330, 331, 296). flavour (natural flavouring substances), preservative (211). stabilizer (436)"
8908000339446,Instant premix original,KarakTea,"sucrose, <span class=""allergen"">milk powder</span>, tea extract, maltodextrin"
8901030535895,Bru Instant Coffee,Bru,"instant coffee-chicory mixture 
coffee 70% 
chicory 30%"
8906117361428,Taaza Paneer,Country Delight,pasteurized milk and lemon concentrate (0.43%)
8906027122782,soya sauce,SAMS,"water, soya bean extract, caramel (e-150c), salt, acidity regulator (e-260), thickener (e-415), permitted class ii preservatives"
8904474001827,Whole Wheat Brown Bread,Bonn,"whole wheat flour - atta (53.83%), water, <span class=""allergen"">gluten</span>, edible sunflower oil, yeast, sugar malt extract, salt, fermented whole wheat flour and <span class=""allergen"">soy flour</span>."
8901725000042,Tedhe Medhe Cocktail Mix,BINGO,"peanut (29.5%), peas dry (27.1%), kabuli chana (26.5%), *edible vegetable oil and seasoning (spices and condiments, iodized salt, black salt and natural flavours and natural flavouring substances) and colors[ins 133,ins 100(i)]"
8906069403306,VEEBA PEANUT BUTTER UNSWEETENED,VEEBA,roasted peanuts (100.0%).
8906108762418,JBPS Nutra Omega 3 6 9,JBPS Nutra,"soyabean extract, <span class=""allergen"">gelatin</span>, sorbitol, glycerin."
8904063259394,Onion bhaji,Haldiram,"onions (50%), chickpeas flour (25%), refined cotton seed oil, coriander leaves, green chilli, fresh garlic, cumin, salt, rice flour, sugar, coriander, carom seeds, red chilli, turmeric, acidity regulator (citric acid-e330) sodium bicarbonate (e500ii) and asafoetida."
8901552032711,Soul Amritsari Kulcha,Soul,"refined wheat flour (28%), potato (20%), paneer (<span class=""allergen"">milk</span>) (19%), water, <span class=""allergen"">milk</span>, refined sunflower seed oil, curd (<span class=""allergen"">milk</span>), edible common salt, mixed spices (coriander seeds, cumin, black pepper, cassia, dried ginger, fenugreek leaves, cardamom, red chilli, cloves, nutmeg, edible common salt, mace, compounded asafoetida (<span class=""allergen"">wheat</span>)), ginger, green chilli, sugar, coriander leaves, bakery & industrial margarine (palmolein, palm oil, ricebran oil, sesame oil, water, salt, emulsifying agents - ins 471 & antioxidants - ins 319), <span class=""allergen"">butter</span> (<span class=""allergen"">milk</span>, edible common salt), raising agent (ins 500 (ii)), pomegranate seeds, dry mango powder, black salt, bakers yeast (dried)."
8902579001285,frooti mix fruit,,ep your city clean حافظ على سلافة بلدك cntton drink made from concentrate شراب مركز من عصير الفاكهة
8901262070058,Amul Fruit 'N&quot; Nut,Amul,"cocoa solids, sugar, cocoa butter, almonds (8%), raisins (5%), emulsifiers (322,476), artificial flavouring substances (cocoa, vanilla)."
8906068764934,Peanut Butter,Golden Crown,"harina de trigo, azúcar, aceites vegetales (aceite de palma, aceite de nabina), jarabe de azúcar moreno, gasificante (bicarbonato de sodio), emulgente (lecitina de soja), sal, canela"
8908023134066,Beetroot chips Mint,Krunchillo,"beetroot (61%), palmolein oil, seasoning [spices & condiments, sugar, refined wheat flour (maida), lodized salt, black salt, acidity regulator (ins 330), tamarind powder, flavour enhancers (ins 627, ins 631), natural & nature identical artificial (tamarind) flavouring substances, hydrolysed vegetable protein (<span class=""allergen"">soy</span>), anti-caking agent (ins 551)]"
8906190870176,Cucumber and basil sparking mixer,Jimmy's,"carbonated water, sweeteners (968, 955), acidity regulators [330, 331 (iii)], stabilizer (419, 445) flavours (natural & nature identical flavouring substances) contains non-caloric sweetener. this drink contains an admixture of erythritol and sucralose."
8901725120672,Mixed fruit juice,B natural,"apple juice (48%), water, pineapple pulp (8%), orange pulp (7%), mango pulp (5.7%), banana puree (2.9%), guava pulp (1.4%), natural flavours and natural flavouring substances, acidity regulator (ins 330), vitamin c, colour (ins 160a(iii)) and stabilizer (ins 440). may contains<span class=""allergen"">: milk</span>, nut & soy no added sugar."
8908012987178,TruNativ Raw Whey Isolate Unflavored,TruNativ,"whey protein isolate (87%), enzyme blend digezyme"
8901063035256,milk bikis,Britannia,"refined wheat flour (maida), sugar, interesterified vegetable fat & refined palm oil, milk products (8.7%) [milk solids & sweetened condensed partly skimmed milk], liquid glucose, edible maize starch, raising agents [503(ii), 500(ii) & 341(i)], emulsifiers [322(i) & 471], iodised salt, minerals**, artificial (milk) flavouring substances and vitamins*.
(numbers in brackets as per international numbering system)
contains wheat, milk and soy."
8904008100705,Grape Fruit Bar,Naturo,"fruit pulp 70% (grape 42.05%, apple 27.95%), sugar, thickener (ins 440), acidity regulator (ins 524, ins 330). contains added nature identical flavouring substance (grape)."
8904063223036,Mexilla Flaming Hot,Haldiram's,"corn (70%), edible vegetable oil (palmolein, cotton seed, rice bran), *spices and condiments [(red/chilli powder (1%), garlic powder, onion powder, rice flour, paprika extract (ins 160c)], lodised salt, sugar powder, hydrolysed vegetable (soy) powder, acidity regulators (ins 330, ins 296, ins 340), flavour enhancers (ins 627, ins 631), anticaking agent (ins 551), stabiliser (ins 414), natural and nature identical flavouring substances."
8901414006850,Bikano diet mixture,Bikano,"rice flakes (37.2%), edible vegetable oil (refined palmolein oil, refined ricebran oil, acidity cottonseed oil), husked bengal gram (28.49%), corn flakes (6.8%), mixed spices powder, turmeric powder, yellow chilli powder, hydrolyzed vegetable protein, er), maltodextrin, lodized salt, black salt, curry leaves (0.2%), mint leaves,   acidity regulator (e330)"
8901042968711,Hing - compounded asafoetida powder,MTR,"<span class=""allergen"">wheat flour</span> (63.5%), gum arabic, asafoetida"
8909081013737,Strawberry Smoothie,Sunfeast,"water, milk solids (33.5%), sugar, strawberry pulp (7.4%), banana puree, strawberry chunks (3.9%), nata de coco, stabilizers (466,418), acidity regulator (330), nature identical flavouring substances, chia seeds (0.16%), natural flavours and natural flavouring substances, antioxidant (300), sweetener (960) and colours (122, 110)."
8906098670076,PERI PERI THRILLER POPCORN,Ultrapop,"popped corn, refined edible palmolein oil, iodized salt, sugar, spices and condiments (chili, coriander, herbs, garlic powder, onion powder, maltodextrin, dry mango powder, tomato powder) acidity regulator (e330, e334), flavor enhancer (e 627, 631) added natural & nature identical flavouring substances"
8906068355675,Soya Chaap In Brine,Pachranga's Farm Fresh,"soy flour, wheat flour, plain flour, water, salt"
8904238426842,Natural Jaggery Powder,RMP,sugarcane jaggery
8906117091219,Shortcuts Peanut Butter Wafer Bites,BRB,"peanut butter (54.5%), refined wheat flour, jaggery, milk solids, refined coconut oil, emulsifier (<span class=""allergen"">soy lecithin</span>), iodized salt, baking soda, milk protein concentrate, butter & vanilla. <span class=""allergen"">wheat</span>"
8908022521058,evocus water,evocus,"treated drinking water with added minerals (potassium bicarbonate, potassium carbonate, magnesium sul , calcium sulphate)."
8903363008275,Roasted Yellow Chana,Dmart Premia,"marked by: avenue supermarts ltd. (asl), anjaneya ltd., orchard avenue, opp. hiranandani ndation school, powai, mumbai-400076, maharashtra. fssat lic. no. 10018022008191 for feedback/suggestions, please contact consumer are executive at 'marketed by' address email suggestion@dmartindia.com phon no.: 022-71230555 dients: roasted gram, edible common salt & turmeric (no. of servings per pack = 4 ]"
8906018080282,Southern Classic Bread,fresh choice,"refined wheat flour (maida), sugar edible vegetable fat, salt, yeast improper {flour treating agent (1100), stabilizer (170 l), emulsifier (481), antioxidants (300)}, preservative (282), acidity regulator (260) (number the brackets are as per international numbering system) allergen information : contains wheat glute, traces of milk solids"
8901262260947,Buffalo Milk A2,Amul,"<span class=""allergen"">milk</span>"
8908013479382,The Whole Truth Protein Bar Cranberry mini,The Whole Truth,"cashews kernels(34%),  cranberries(21%), dates(19%), whey protein concentrate(17%), cocoa butter(5%), almonds kernels(4%)."
8901030970238,Choco Brownie Fudge,Kwality Walls,"water, chocolate flavoured confectionery (13.7%), sugar, condensed milk, cocoa solids, palm oil, liquid glucose, milk solids, maltodextrin, stabilisers (e412, e410) and artificial (vanillin) flavouring substance, dried browne pieces, refined wheat flour (maida), sugar, palm oil, liquid glucose, cocoa solids milk solds, modified starch-e1442, leavening agent-e500, emulsifier-e322 and artificial (vanilla & chocolate flavouring substances), edible palm oil, milk solids, liquid glucose, cocoa solids, emulsifier-e471, vegetable protein (soy), stabilisers (e412, e417, e407, e410), nature identical flavouring substance, food colours (natural (150d), e122, e133, e102)"
8906012906205,Kabi Pro Vanilla Flavour,Kabi Pro,"whey protein concentrate, maltodextrin, dietary fibers (gum acacia), minerals, flavoring agent (artificial flavouring substances (vanilla)], vitamins, choline bitartrate, stabilizer (ins 415)."
8906023648637,Paneer,Thirumala,milk solids & preservative (naturally sourced food protectant)-ins 234.
8906109490679,Poppadoms - Cumin,Fern's,"lentil flour, salt, raising agent (500), rice flour, cumin & sunflower oil."
8901207043772,Coconut water,"Dabur,Real","water, coconut water concentrate (9%)"" and preservatives (ins 202, ins 224)"
8906143890497,The Whole Truth Almond Raisin Dark Chocolate,The Whole Truth,"47% cocoa, 38% dates, almonds 15%, raisins 15%"
8909106070561,Classic Malt,Horlicks,"super food blend (38%) [barley products (malted barley (24%), barley), millet (4%), oat powder (1%), almond powder* (0.5%)], wheat products [wheat flour (atta) (26%), wheat extract, wheat gluten), milk solids (14%), sugar, minerals & vitamins, edible lodised salt, soy protein isolate, acidity regulators (potassium bicarbonate, sodium bicarbonate). *natural flavouring substance"
8906009503066,Chitale Dahi 1kg,,pasteurized toned milk lactic culture
8906152620627,Sawan Pani Puri Khakhra Bites,Sawan,"wheat atta, oil, pudina, pani puri masala, amchur powder, black salt, green chilli paste, jeera powder."
